Sport, Players, Ball Used, Scoring System
Football, 22, Yes, Goals
Basketball, 10, Yes, Baskets
Tennis, 2 or 4, Yes, Points
Cricket, 11, Yes, Runs
Baseball, 9, Yes, Runs
Soccer, 11, Yes, Goals
Golf, 1 or 2, Yes, Strokes
Volleyball, 6, Yes, Points
Table Tennis, 1 or 2, Yes, Points
Swimming, Varies, No, Time
Athletics, Varies, No, Time/Distances
Badminton, 1 or 2, Yes, Points
Hockey, 11, Yes, Goals
Boxing, 2, No, Rounds/Points
Cycling, Varies, No, Time/Distances
Martial Arts, Varies, No, Points
Wrestling, 2, No, Points
Rowing, Varies, No, Time
Gymnastics, Varies, No, Points
Skiing, Varies, No, Time
Snowboarding, Varies, No, Points
Surfing, 1, No, Points
Skateboarding, 1, No, Points
Equestrian, Varies, No, Points
Archery, 1 or 2, No, Points
Fencing, 1 or 2, No, Points
Canoeing, Varies, No, Time
Kayaking, Varies, No, Time
Synchronized Swimming, Varies, No, Points
Triathlon, Varies, No, Time
Rugby, 15, Yes, Tries
Handball, 7, Yes, Goals
Softball, 10, Yes, Runs
Sailing, Varies, No, Time/Distance
Weightlifting, 1, No, Weight Lifted
